193,Iconyc Brewing Company,45-13 34th Ave,Long Island City,New York,11101-1041,3473421360,http://www.iconycbrewing.com
194,In-Law Brewing Co,5868 County Route 14,Chase Mills,New York,13621-3102,,http://www.in-lawbrewingcompany.com
195,Indian Ladder Farmstead Brewery and Cidery,342 Altamont Rd,Altamont,New York,12009-3500,5185771484,http://www.ilfcb.com
196,Industrial Arts Brewing Co.,55 W Railroad Ave # 25W,Garnerville,New York,10923-1261,8459428776,http://www.industrialartsbrewing.com
197,Interboro Spirits And Ales,942 Grand St,Brooklyn,New York,11211-2707,6462455417,http://www.interboro.nyc
198,Irish Mafia Brewing Co,2971 Whalen Rd,Bloomfield,New York,14469-9786,5852715172,http://www.irishmafiabrewing.com
199,Iron Flamingo Brewery,196 Baker St,Corning,New York,14830-2074,6079364766,http://www.ironflamingobrewery.com
200,Iron Tug Brewing,371 Park Ave,Rochester,New York,14607,5857385606,http://www.irontugbrewing.com
201,Island To Island Brewery,642 Rogers Ave,Brooklyn,New York,11226-1502,3479741985,http://www.islandtoislandbrewery.com
202,Ithaca Beer Co,122 Ithaca Beer Dr,Ithaca,New York,14850-8813,6072730766,http://www.ithacabeer.com
203,Jamesport Farm Brewery,5873 Sound Ave,Riverhead,New York,11901-5611,6317228111,http://www.jamesportbrewhouse.com
204,Jamestown Brewing Company,,Jamestown,New York,14701-5110,7168644257,
205,K2 Brothers Brewing,1221 Empire Blvd,Rochester,New York,14609-5946,5854131997,http://www.K2Brewing.com
206,Keegan Ales,20 Saint James St,Kingston,New York,12401-4534,8453312739,http://www.keeganales.com
207,Keg & Lantern Brewing Co,97 Nassau Ave,Brooklyn,New York,11222-3081,7183895050,http://www.kegandlanternbrooklyn.com
208,KelSo Beer Company,529 Waverly Ave,Brooklyn,New York,11238-2701,,http://www.kelsoofbrooklyn.com
209,Keuka Brewing Co,8572 Briglin Rd,Hammondsport,New York,14840-9633,6078684648,http://www.keukabrewingcompany.com
210,Kills Boro Brewing Company,62 Van Duzer St,Staten Island,New York,10301-3226,3472778680,http://www.killsboro.com
211,Kings County Brewers Collective,381 Troutman St,Brooklyn,New York,11237-2613,7182882891,http://www.kcbcbeer.com
212,Kingston Standard Brewing Co.,,Kingston,New York,12401,,http://www.kingstonstandard.com
213,Knucklehead Craft Brewing,426 Ridge Rd,Webster,New York,14580-1793,5853476236,http://www.knuckleheadcraftbrewing.com
214,Lafayette Brewing Co,391 Washington St,Buffalo,New York,14203-2108,7168560062,http://www.panamericangrill.com
215,Lake Drum Brewing,16 E Castle St,Geneva,New York,14456-2400,3157891200,http://www.lakedrumbrewing.com
216,Lake George Beer Hub,1043 State Route 9,Queensbury,New York,12804-1374,5182230372,http://www.lakegeorgebrewingcompany.com
217,Lake Placid Pub and Brewery,813 Mirror Lake Dr,Lake Placid,New York,12946-3829,5185233813,http://www.ubuale.com
218,Ledge Hill Brewing Co,6700 Main St,Westport,New York,12993-2007,5189121783,http://www.ledgehillbrewing.com/
219,LIC Beer Project,3928 23rd St,Long Island City,New York,11101-4817,9178326840,http://licbeerproject.com
220,Limestone Creek Brewing Company,,Manlius,New York,13104,,
221,Lincoln Hill Farm,,Canandaigua,New York,14424-8826,5857529466,http://www.fingerlakingood.farm
222,Lineup Brewing LLC,33 35th St Unit 6A,Brooklyn,New York,11232-2210,7204222053,http://www.lineupbrewing.com
223,Liquid Shoes Brewing,26 E Market St,Corning,New York,14830,6074639726,http://www.liquidshoesbrewing.com
224,Liquid State Brewing Company,620 West Green Street,Ithaca,New York,14850,,http://www.liquidstatebrewing.com
225,Lithology Brewing,211 Main St Ste A,Farmingdale,New York,11735-2675,6316783613,http://Lithologybrewing.com
226,Livingood's Restaurant & Brewery,697 Bear Swamp Rd,Peru,New York,12972-,5184206331,http://www.livingoodsresturant.com
227,Local 315 Brewing Company,3160 Warners Rd,Warners,New York,13164-,315468,http://www.local315brewing.com
228,Lock 32 Brewing Company,10 Schoen Pl,Pittsford,New York,14534-2026,5855067738,http://www.lock32brew.com
229,Long Ireland Brewing Co,817 Pulaski St,Riverhead,New York,11901-3039,6314034303,
230,Long Lot Farm Brewery,153 Johnson Rd,Chester,New York,10918,8453372940,http://www.longlotfarmbrewery.com
231,Lost Kingdom Brewery / Firehouse Distillery,7160 Main St,Ovid,New York,14521-9401,6074034020,http://www.firehousedistillery.net
232,"Lucky Hare Brewing Company, Inc.",6085 Beckhorn Road,Hector,New York,14841,6075462036,http://www.luckyharebrewing.com
233,Lunkenheimer Craft Brewing Co. LLC,"PO Box 539 8920 N Seneca St,",Weedsport,New York,13166-0539,3158347027,http://www.lunkenheimercraftbrewing.com
234,Lyonsmith Brewing Company,138 Water St,Penn Yan,New York,14527-1651,3155365603,http://www.lyonsmithbrewing.com
235,Mad Jack Brewing Co / Van Dyck Restaurant & Lounge,237 Union St,Schenectady,New York,12305-1405,5183487999,http://www.madjackbrewing.com
236,Market Street Brewing Co,63 W Market St # 65,Corning,New York,14830-2526,6079362337,http://www.936-beer.com
237,Mean Max Brew Works,193 Glen St # 2,Glens Falls,New York,12801-3539,5187932337,http://www.meanmaxbrew.com
238,Middle Ages Brewing Co Ltd,120 Wilkinson St Ste 3,Syracuse,New York,13204-2490,3154764250,http://www.middleagesbrewing.com
239,Midriver Brewery,,Cold Spring,New York,10516,9146611790,
240,Mikkeller Brewing NYC,12001 Roosevelt Ave,Flushing,New York,11368-1653,9175720357,http://mikkellernyc.com
241,Miles Craft Ales @ Miles Wine Cellars,168 Randall Rd,Himrod,New York,14842-9715,6072437742,http://www.mileswinecellars.com
242,Mill House Brewing Company,289 Mill St,Poughkeepsie,New York,12601-3111,8452345573,http://www.millhousebrewing.com
243,Mill House Brewing Company - Production,,Poughkeepsie,New York,12601,8452345573,
244,Montauk Brewing Co,62 S Erie Ave,Montauk,New York,11954-5370,6316688471,http://www.montaukbrewingco.com
245,Moriches Field Brewing Company,,Center Moriches,New York,11934-2600,6314495310,
246,Moustache Brewing Co,400 Hallett Ave Ste A,Riverhead,New York,11901-3076,6315913250,http://www.moustachebrewing.com
247,Naked Dove Brewing Company,4048 State Route 5 and 20,Canandaigua,New York,14424-9591,5853962537,http://www.nakeddovebrewing.com
